"LCSC Part Number","Manufacture Part Number","Manufacturer","Customer NO.","Package","Description","RoHS","Order Qty.","Min\Mult Order Qty.","Unit Price","Order Price"
"C92800","GMK325BJ106MN-T","Taiyo Yuden","","1210","10uF ±20% 35V X5R 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","YES","10","5\5","$0.128300","$1.28"
"C96182","CS1A101M-CRD54　","ST(Semtech)","","SMD,5x5.4mm","100uF ±20% 10V SMD,5x5.4mm Aluminum Electrolytic Capacitors - SMD RoHS","YES","20","20\20","$0.028000","$0.56"
"C478888","C0603B104K500NT","TORCH","","0603","100nF ±10% 50V X7R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","YES","50","50\50","$0.003800","$0.19"
"C319200","EMK325BJ226KM-P","Taiyo Yuden","","1210","22uF ±10% 16V X5R 1210 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","YES","20","5\5","$0.129200","$2.58"
"C1681","0603CG750J500NT","FH(Guangdong Fenghua Advanced Tech)","","0603","75pF ±5% 50V C0G 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","YES","50","50\50","$0.005300","$0.27"
"C140782","GRM188R60J476ME15D","Murata Electronics","","0603","47uF ±20% 6.3V X5R 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT RoHS","YES","10","5\5","$0.107100","$1.07"
"C18905","S2M","MDD(Microdiode Electronics)","","SMA(DO-214AC)","1kV 2A 1.1V @ 2A SMA(DO-214AC) Diodes - General Purpose RoHS","YES","20","20\20","$0.020700","$0.41"
"C205443","ORH-G36G","Orient","","0603","Green 520~535nm 0603 Light Emitting Diodes (LED) RoHS","YES","50","50\50","$0.009800","$0.49"
"C84263","NCD0603R1","Foshan NationStar Optoelectronics","","0603","Red 615~630nm 0603 Light Emitting Diodes (LED) RoHS","YES","50","50\50","$0.014600","$0.73"
"C89953","BAS416,115","Nexperia","","SOD-323","85V 200mA 1.25V @ 150mA SOD-323 Diodes - General Purpose RoHS","YES","40","10\10","$0.042800","$1.71"
"C84268","NCD0603Y1","Foshan NationStar Optoelectronics","","0603","Yellow 586~595nm 0603 Light Emitting Diodes (LED) RoHS","YES","50","50\50","$0.015800","$0.79"
"C319099","DC-005-2.5A-2.0","XKB Connectivity","","Through Hole","DC Power Receptacle Jack 2.5A 2.0mm 6.2mm Through Hole AC/DC Power Plugs & Receptacles RoHS","YES","10","5\5","$0.084400","$0.84"
"C10418","920-E52A2021S10100","Jing Extension of the Electronic Co.","","SMD","USB - Micro B Female USB 2.0 5 SMD USB Connectors RoHS","YES","10","5\5","$0.066300","$0.66"
"C8377","WJ2EDGRC-5.08-3P","Ningbo Kangnex Elec","","P=5.08mm","插针/板端，Covered（4Sided） 3 1 0.200""（5.08mm） 3 P=5.08mm Pluggable System Terminal Block RoHS","YES","40","10\10","$0.052600","$2.10"
"C9221","JQC-3FF/005-1ZS(551)","HF(Xiamen Hongfa Electroacoustic)","","Through Hole","General Purpose Non Latching 5VDC SPDT Through Hole Relays RoHS","YES","3","1\1","$0.483300","$1.45"
"C182182","SLO0630H150MTT","Sunltech Tech","","SMD,7.1x6.6x3mm","15uH ±20% 3A 115mΩ SMD,7.1x6.6x3mm Power Inductors RoHS","YES","20","5\5","$0.109800","$2.20"
"C75568","BC847W,115","Nexperia","","SOT-323(SC-70)","NPN 100mA 45V 200mW SOT-323(SC-70) Transistors (NPN/PNP) RoHS","YES","20","20\20","$0.022600","$0.45"
"C426569","BSS138","Slkor(SLKORMICRO Elec.)","","SOT-23","N-Channel 50V 220mA 1.6V @ 1mA 3.5Ω @ 220mA,10V 225mW SOT-23 MOSFET RoHS","YES","100","50\50","$0.015700","$1.57"
"C23194","0603WAF5113T5E","UNI-ROYAL(Uniroyal Elec)","","0603","511kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001400","$0.14"
"C16840","0603WAF1053T5E","UNI-ROYAL(Uniroyal Elec)","","0603","105kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001600","$0.16"
"C202954","CR0603-FX-80R6ELF","BOURNS","","0603","80.6Ω ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","50\50","$0.008900","$0.89"
"C163926","WR06X49R9FTL","Walsin Tech Corp","","0603","49.9Ω ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001300","$0.13"
"C15458","0603WAJ0104T5E","UNI-ROYAL(Uniroyal Elec)","","0603","100kΩ ±5% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001400","$0.14"
"C25952","0603WAF1332T5E","UNI-ROYAL(Uniroyal Elec)","","0603","13.3kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001600","$0.16"
"C115325","RS-03K1001FT","FH(Guangdong Fenghua Advanced Tech)","","0603","1kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001700","$0.17"
"C103302","RTT031500FTP","RALEC","","0603","150Ω ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001600","$0.16"
"C98220","RC0603FR-0710KL","YAGEO","","0603","10kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","200","100\100","$0.001600","$0.32"
"C22998","0603WAF3571T5E","UNI-ROYAL(Uniroyal Elec)","","0603","3.57kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001400","$0.14"
"C310285","RS-03K7501FT","FH(Guangdong Fenghua Advanced Tech)","","0603","7.5kΩ ±1% 0.1W ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS","YES","100","100\100","$0.001500","$0.15"
"C557591","TS342A2P-WZ","SHOU HAN","","SMD","SMD Tactile Switches RoHS","YES","40","20\20","$0.034000","$1.36"
"C347222","AMS1117-3.3","UMW(Youtai Semiconductor Co., Ltd.)","","SOT-223","Fixed 18V 3.3V 1.3V @ 1A SOT-223 Dropout Regulators(LDO) RoHS","YES","20","10\10","$0.042800","$0.86"
"C191884","TPS54202DDCR","Texas Instruments","","SOT-23-6","28V 2A SOT-23-6 DC-DC Converters RoHS","YES","20","1\1","$0.352400","$7.05"
"C82891","ESP-12F(ESP8266MOD)","Ai-Thinker","","WIFI Module","WIFI Module WIFI Modules RoHS","YES","2","1\1","$1.520000","$3.04"
"C193191","ORH-B36G","Orient","","0603","Blue 455~475nm 0603 Light Emitting Diodes (LED) RoHS","YES","50","50\50","$0.006900","$0.35"
"C319824","AR03DTDX0150","Viking Tech","","0603","15 ±0.5% 1/10W 0603 High Precision & Low TCR SMD Resistors RoHS","YES","50","50\50","$0.012800","$0.64"
"C71370","WJ2EDGK-5.08-2P","Ningbo Kangnex Elec","","P=5.08mm","Plug,Female Socket 2 1 0.200""（5.08mm） 2 P=5.08mm Pluggable System Terminal Block RoHS","YES","20","1\1","$0.101900","$2.04"
